,Country,1990_temp,1991_temp,1992_temp,1993_temp,1994_temp,1995_temp,1996_temp,1997_temp,1998_temp,1999_temp,2000_temp,2001_temp,2002_temp,2003_temp,2004_temp,2005_temp,2006_temp,2007_temp,2008_temp,1990_CO2,1991_CO2,1992_CO2,1993_CO2,1994_CO2,1995_CO2,1996_CO2,1997_CO2,1998_CO2,1999_CO2,2000_CO2,2001_CO2,2002_CO2,2003_CO2,2004_CO2,2005_CO2,2006_CO2,2007_CO2,2008_CO2,Region
0,Afghanistan,14.993333333333332,14.370750000000001,14.056083333333333,14.439249999999996,14.75475,14.859166666666667,14.426000000000002,14.904000000000002,15.1325,15.38875,15.497833333333334,15.778083333333333,15.537666666666668,14.916000000000002,15.77091666666667,14.979999999999999,15.595583333333332,15.106166666666669,15.216500000000002,0.140714639934507,0.126777368008148,0.0701453384153803,0.0654028805050514,0.0607273743571541,0.0564513714233925,0.0518392191639053,0.0468270266565761,0.0431050136580147,0.033012123168572,0.030098129286149,0.024174311734112,0.0130842573168328,0.0206348670686774,0.0242207356798196,0.0234207619117277,0.0226566620490201,0.0226126578169084,0.025034830063358,South Asia
1,Albania,13.46866666666667,12.338833333333334,13.084666666666665,13.122583333333337,14.09966666666667,12.782083333333334,12.7365,12.900916666666667,13.311250000000003,13.65375,13.746583333333335,13.690416666666666,13.559916666666668,13.62658333333333,13.258166666666666,12.747083333333334,12.976916666666668,13.890500000000001,13.955166666666665,2.27634980937734,1.2064790328387,0.730709954719691,0.726599979348203,0.606660539805412,0.664264643427689,0.647963742174139,0.499306575693537,0.569277342233952,0.973817051639831,0.986029944111964,1.04979856228257,1.21411344115985,1.3810115617821,1.28145347905075,1.4647924756509,1.3405907038792,1.41373741389074,1.31285501306502,Europe & Central Asia
2,Algeria,24.014416666666666,23.011083333333335,22.767,23.450833333333335,23.642083333333332,23.7225,23.734333333333336,23.955166666666667,23.92058333333333,24.299416666666662,24.032249999999994,24.724416666666666,24.263000000000005,24.393666666666665,23.916000000000007,24.222583333333333,24.200833333333335,24.06533333333334,23.95025,3.11850023451351,3.14141838818753,3.0974435959316,3.03550943851364,3.11160853308588,3.34703484862339,3.3545442181857,3.01594457898985,3.60858567187489,3.06052282118249,2.87978945449583,2.72070062520387,2.88957544734648,2.89949984116421,2.76247074951858,3.25730587052007,3.21346136257854,3.32507235684611,3.23296039494333,Middle East & North Africa
3,American Samoa,27.15625,27.171166666666675,27.072000000000003,26.81641666666667,26.986333333333324,27.26866666666667,27.11266666666667,26.95575,27.424833333333336,27.067166666666665,27.21983333333333,27.22758333333334,27.53791666666666,27.26483333333333,27.281166666666667,27.373500000000003,27.08125,27.452416666666664,26.995083333333337,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,East Asia & Pacific
4,Andorra,12.455583333333335,11.565416666666666,11.498416666666664,11.432166666666667,12.632249999999999,12.376416666666664,11.741416666666666,12.896166666666668,12.118749999999999,12.178666666666667,12.311916666666667,12.216083333333335,12.319583333333334,12.900666666666668,12.043,11.643416666666667,12.834333333333333,12.15525,11.978583333333333,..,..,..,..,..,6.29124097744942,6.52140984561608,7.06224481935136,7.53422781184821,8.02344299445183,8.11308289754618,7.89849374905859,7.70121518473994,7.41495505726909,7.50037188545928,7.3916264379622,6.84056138418008,6.62303722816071,6.52783462707534,Europe & Central Asia
5,Angola,22.46641666666667,22.095416666666665,22.498583333333332,22.291,22.189416666666663,22.936166666666665,22.479249999999997,22.317166666666665,23.120166666666666,22.382083333333338,22.360666666666663,22.502916666666668,22.9255,23.06658333333333,22.572833333333335,22.96608333333333,21.947083333333335,22.42708333333334,22.287333333333333,0.428612841038439,0.409948922961107,0.401596941172835,0.510140831446347,0.331320808382214,0.909698924544645,0.84248925435999,0.577043014446965,0.556263022552826,0.677678138929029,0.685141350156283,0.676400678220358,0.850598711632685,0.587863651636066,1.17771719308712,1.16176745726748,1.30896795518685,1.43517411076185,1.35108829355686,Sub-Saharan Africa
6,Argentina,15.155083333333332,15.097583333333338,14.739166666666664,15.098666666666668,15.578666666666669,15.149833333333333,15.211583333333332,15.620666666666667,15.261750000000001,15.064916666666663,14.7505,15.370416666666666,15.183750000000003,15.518333333333336,15.442166666666667,15.112833333333334,15.561083333333329,14.628083333333336,15.475999999999999,3.44991254024438,3.5360727831825,3.62096868568039,3.49034762044121,3.58365149781153,3.51590619581147,3.66189622823494,3.77091353030549,3.81002385467109,3.98150323024565,3.8200410395587,3.76578553881501,3.48954400390468,3.74591018069379,4.04270416734892,4.10856487964921,4.4979746744619,4.66692219526354,4.84405273889016,Latin America & Caribbean
7,Armenia,9.258083333333333,9.372583333333333,7.614666666666667,7.769666666666667,9.02125,9.892166666666668,9.819166666666666,9.246333333333334,10.448416666666667,10.331000000000001,9.918166666666668,10.443416666666668,9.604999999999999,9.423083333333333,9.720166666666666,9.735416666666667,10.053500000000001,9.53525,9.706750000000001,..,..,1.06716870438326,0.869320101959041,0.901555063910483,1.08308924156414,0.821905721135432,1.04576379753199,1.09570033266851,0.98953415232652,1.12652945387306,1.1554277662347,0.981119655335868,1.12026940220627,1.19015990272356,1.41850203884337,1.42626074810316,1.64492363982472,1.80188835196927,Europe & Central Asia
8,Aruba,28.243333333333325,28.34308333333333,28.498750000000005,28.589166666666667,28.482249999999997,28.73641666666667,28.479583333333338,28.763333333333332,28.982499999999998,28.197916666666668,28.127999999999997,28.630916666666664,28.849249999999998,28.84966666666666,28.506,28.77225,28.804666666666666,28.82283333333333,28.45025,29.6206413825285,29.838835432072,25.2392877017251,24.4052333512463,22.9778666527709,22.2330963733924,21.8071482743262,21.745106328014,19.2162000299446,19.0726125596436,24.7388751647816,24.2182475666663,23.8403843714322,23.279535483871,22.8062920259273,22.5111885619232,22.1353116998179,22.6229887263133,21.6838314728124,Latin America & Caribbean
9,Australia,22.35575,22.48741666666667,21.932583333333337,22.160166666666665,22.03025,21.955166666666667,22.325333333333333,22.086000000000002,22.664833333333334,22.0645,21.709666666666667,21.79275,22.46083333333333,22.44033333333333,22.286916666666666,22.896833333333333,22.264416666666666,22.48675,22.225916666666667,16.8373728838389,16.2884898171719,16.8308907116319,17.1006280636214,17.0236701204145,17.0116171978752,17.9815373272896,18.0171550467138,18.5405840414729,17.1997916622636,17.2090339894533,16.7341230103539,17.3726910042033,17.4149047015893,17.350630384451,18.0140556906662,18.2328628025065,18.0716233479654,18.5696190897039,East Asia & Pacific
